run:
						<<<<<<<<<<<<<<<<<< STORAGE SNAPSHOT >>>>>>>>>>>>>>>>>>>

                               		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
For Data Number: ------>>>>> 0		|0| 	|7736| 	|0| 	|6901| 	|7352| 	|9473| 	|0| 	|0| 	|0| 	|2706| 	|0| 	|861| 	|0| 	|208| 	|9197| 	|3494| 	|0| 	|0| 	|0| 	|4430| 	|0| 	|8968| 	|0| 	|4854| 	|6672| 	|5709| 	|0| 	|0| 	|0| 	|888| 	|0| 	|4019| 	|0| 	|3898| 	|9271| 	|7480| 	|0| 	|0| 	|0| 	|5231| 	|0| 	|5110| 	|0| 	|3770| 	|8692| 	|4578| 	|0| 	|0| 	|0| 	|1568| 	|0| 	|9049| 	|0| 	|5157| 	|4982| 	|5137| 	|0| 	|0| 	|0| 	|4248| 	|0| 	|5918| 	|0| 	|255| 	|1097| 	|7379| 	|0| 	|0| 	|0| 	|4901| 	|0| 	|2915| 	|0| 	|1703| 	|5507| 	|9123| 	|0| 	|0| 	|0| 	|3541| 	|0| 	|1366| 	|0| 	|8665| 	|7157| 	|5433| 	|0| 	|0| 	|0| 	|5083| 	|0| 	|2430| 	|0| 	|5285| 	|5992| 	|6066| 	|0| 	|0| 	|0| 	|7857| 

For Data Number: ------>>>>> 1		|0| 	|8450| 	|0| 	|2114| 	|7972| 	|3676| 	|0| 	|0| 	|0| 	|3959| 	|0| 	|9534| 	|0| 	|2996| 	|4565| 	|1178| 	|0| 	|0| 	|0| 	|545| 	|0| 	|4060| 	|0| 	|1151| 	|1124| 	|4787| 	|0| 	|0| 	|0| 	|3932| 	|0| 	|5925| 	|0| 	|7494| 	|4053| 	|7312| 	|0| 	|0| 	|0| 	|9561| 	|0| 	|3777| 	|0| 	|5346| 	|20| 	|8073| 	|0| 	|0| 	|0| 	|5851| 	|0| 	|3548| 	|0| 	|6861| 	|9009| 	|4942| 	|0| 	|0| 	|0| 	|7844| 	|0| 	|7386| 	|0| 	|2646| 	|4686| 	|9891| 	|0| 	|0| 	|0| 	|4962| 	|0| 	|8504| 	|0| 	|7090| 	|3050| 	|7689| 	|0| 	|0| 	|0| 	|3447| 	|0| 	|3427| 	|0| 	|5447| 	|1528| 	|6686| 	|0| 	|0| 	|0| 	|2437| 	|0| 	|8275| 	|0| 	|3124| 	|572| 	|3043| 	|0| 	|0| 	|0| 	|6679| 

For Data Number: ------>>>>> 2		|0| 	|9999| 	|0| 	|7750| 	|9696| 	|377| 	|0| 	|0| 	|0| 	|3791| 	|0| 	|7373| 	|0| 	|8659| 	|9952| 	|6033| 	|0| 	|0| 	|0| 	|5508| 	|0| 	|4673| 	|0| 	|1643| 	|3205| 	|4370| 	|0| 	|0| 	|0| 	|1966| 	|0| 	|5198| 	|0| 	|5730| 	|3993| 	|8026| 	|0| 	|0| 	|0| 	|9568| 	|0| 	|761| 	|0| 	|2094| 	|7400| 	|8484| 	|0| 	|0| 	|0| 	|3084| 	|0| 	|6410| 	|0| 	|2828| 	|1259| 	|4518| 	|0| 	|0| 	|0| 	|7272| 	|0| 	|3030| 	|0| 	|2168| 	|6491| 	|1771| 	|0| 	|0| 	|0| 	|478| 	|0| 	|7144| 	|0| 	|8080| 	|660| 	|4040| 	|0| 	|0| 	|0| 	|1993| 	|0| 	|229| 	|0| 	|6161| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 3		|0| 	|687| 	|0| 	|4727| 	|694| 	|7737| 	|0| 	|0| 	|0| 	|788| 	|0| 	|61| 	|0| 	|3522| 	|3899| 	|3798| 	|0| 	|0| 	|0| 	|8693| 	|0| 	|5663| 	|0| 	|6498| 	|4404| 	|4074| 	|0| 	|0| 	|0| 	|3818| 	|0| 	|4121| 	|0| 	|9777| 	|7609| 	|310| 	|0| 	|0| 	|0| 	|6323| 	|0| 	|1293| 	|0| 	|2303| 	|5441| 	|1246| 	|0| 	|0| 	|0| 	|6242| 	|0| 	|8545| 	|0| 	|8922| 	|5845| 	|7| 	|0| 	|0| 	|0| 	|8969| 	|0| 	|8666| 	|0| 	|4680| 	|2182| 	|7656| 	|0| 	|0| 	|0| 	|2081| 	|0| 	|5791| 	|0| 	|9252| 	|9225| 	|1394| 	|0| 	|0| 	|0| 	|896| 	|0| 	|5515| 	|0| 	|6754| 	|539| 	|2835| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

For Data Number: ------>>>>> 4		|0| 	|5118| 	|0| 	|5219| 	|2344| 	|4007| 	|0| 	|0| 	|0| 	|8606| 	|0| 	|425| 	|0| 	|9912| 	|6680| 	|9333| 	|0| 	|0| 	|0| 	|9232| 	|0| 	|6357| 	|0| 	|9737| 	|1078| 	|9508| 	|0| 	|0| 	|0| 	|1785| 	|0| 	|9286| 	|0| 	|4236| 	|5320| 	|8855| 	|0| 	|0| 	|0| 	|3758| 	|0| 	|4485| 	|0| 	|9488| 	|2465| 	|6788| 	|0| 	|0| 	|0| 	|5751| 	|0| 	|5044| 	|0| 	|6808| 	|748| 	|169| 	|0| 	|0| 	|0| 	|1529| 	|0| 	|4155| 	|0| 	|1455| 	|2667| 	|6559| 	|0| 	|0| 	|0| 	|9710| 	|0| 	|620| 	|0| 	|4667| 	|499| 	|472| 	|0| 	|0| 	|0| 	|7286| 	|0| 	|8680| 	|0| 	|6229| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 	|0| 

